model,scenario_id,total_turns,scenario_type,recall,ccr
EpSem-F,hold-out-N011,1000,NOISE_TOLERANCE,0.875,0.932
EpSem-F,hold-out-N012,1000,NOISE_TOLERANCE,1.0,0.972
EpSem-F,hold-out-U001,200,UPDATE_CONFLICT,1.0,0.869
EpSem-F,hold-out-U002,200,UPDATE_CONFLICT,0.875,0.893
EpSem-F,hold-out-U003,200,UPDATE_CONFLICT,0.75,0.884
EpSem-F,hold-out-U004,200,UPDATE_CONFLICT,0.6153846153846154,0.849
EpSem-F,hold-out-U005,500,UPDATE_CONFLICT,0.875,0.913
EpSem-F,hold-out-U006,500,UPDATE_CONFLICT,0.9230769230769231,0.889
EpSem-F,hold-out-U007,500,UPDATE_CONFLICT,0.9230769230769231,0.865
EpSem-F,hold-out-U008,500,UPDATE_CONFLICT,0.875,0.919
EpSem-F,hold-out-U009,1000,UPDATE_CONFLICT,0.6153846153846154,0.917
EpSem-F,hold-out-U010,1000,UPDATE_CONFLICT,0.9230769230769231,0.889
EpSem-F,hold-out-U011,1000,UPDATE_CONFLICT,1.0,0.903
EpSem-F,hold-out-U012,1000,UPDATE_CONFLICT,0.625,0.931
EpSem-F,hold-out-F013,200,FORGETTING,0.875,0.882
EpSem-F,hold-out-F014,200,FORGETTING,1.0,0.908
EpSem-F,hold-out-F015,200,FORGETTING,0.9230769230769231,0.831
EpSem-F,hold-out-F016,200,FORGETTING,0.625,0.89
EpSem-F,hold-out-F017,500,FORGETTING,1.0,0.939
EpSem-F,hold-out-F018,500,FORGETTING,1.0,0.882
EpSem-F,hold-out-F019,500,FORGETTING,0.8,0.889
EpSem-F,hold-out-F020,500,FORGETTING,0.875,0.909
EpSem-F,hold-out-F021,1000,FORGETTING,0.75,0.936
EpSem-F,hold-out-F022,1000,FORGETTING,0.95,0.929
EpSem-F,hold-out-F023,1000,FORGETTING,1.0,0.932
EpSem-F,hold-out-F024,1000,FORGETTING,0.9230769230769231,0.906
EpSem-F,hold-out-N013,200,NOISE_TOLERANCE,1.0,0.875
EpSem-F,hold-out-N014,200,NOISE_TOLERANCE,1.0,0.882
EpSem-F,hold-out-N015,200,NOISE_TOLERANCE,0.875,0.907
EpSem-F,hold-out-N016,200,NOISE_TOLERANCE,0.75,0.929
EpSem-F,hold-out-N017,500,NOISE_TOLERANCE,0.875,0.915
EpSem-F,hold-out-N018,500,NOISE_TOLERANCE,0.875,0.893
EpSem-F,hold-out-N019,500,NOISE_TOLERANCE,1.0,0.92
